Row Labels,M,F,R,L,P,NM,NF,NR,NL,NP
HSB,170000.000,1.000,172.000,0.000,0.000,0.005,0.000,0.237,0.000,0.000
HU,80000.000,1.000,117.000,0.000,0.000,0.002,0.000,0.161,0.000,0.000
HV,380000.000,1.000,465.000,0.000,0.000,0.012,0.000,0.641,0.000,0.000
HZI,140000.000,1.000,141.000,0.000,0.000,0.004,0.000,0.194,0.000,0.000
IAP,170000.000,1.000,199.000,0.000,0.000,0.005,0.000,0.274,0.000,0.000
IAR,745000.000,1.000,278.000,0.000,0.000,0.024,0.000,0.383,0.000,0.000
IAS,380000.000,1.000,699.000,0.000,0.000,0.012,0.000,0.964,0.000,0.000
IF,260000.000,1.000,474.000,0.000,0.000,0.008,0.000,0.654,0.000,0.000
IG,380000.000,1.000,430.000,0.000,0.000,0.012,0.000,0.593,0.000,0.000
II,32000.000,1.000,519.000,0.000,0.000,0.000,0.000,0.716,0.000,0.000
IKB,730000.000,1.000,384.000,0.000,0.000,0.024,0.000,0.530,0.000,0.000
IMH,240000.000,2.000,639.000,0.000,0.000,0.007,0.005,0.881,0.000,0.000
IR,132857.143,7.000,18.000,178.000,16.931,0.004,0.029,0.025,0.245,0.035
IRM,170000.000,1.000,131.000,0.000,0.000,0.005,0.000,0.181,0.000,0.000
IS,323000.000,20.000,441.000,93.000,5.032,0.010,0.092,0.608,0.128,0.010
IT,365000.000,2.000,282.000,0.000,0.000,0.012,0.005,0.389,0.000,0.000
IX,170000.000,1.000,165.000,0.000,0.000,0.005,0.000,0.228,0.000,0.000
JA,426666.667,3.000,131.000,236.000,142.836,0.014,0.010,0.181,0.324,0.295
JD,1800000.000,1.000,482.000,0.000,0.000,0.060,0.000,0.665,0.000,0.000
JE,170000.000,1.000,354.000,0.000,0.000,0.005,0.000,0.488,0.000,0.000
JES,680000.000,2.000,93.000,31.000,0.000,0.022,0.005,0.128,0.043,0.000
JF,240000.000,3.000,423.000,43.000,12.021,0.007,0.010,0.583,0.059,0.025
JG,380000.000,1.000,405.000,0.000,0.000,0.012,0.000,0.559,0.000,0.000
JK,223200.000,5.000,37.000,63.000,12.816,0.007,0.019,0.051,0.087,0.026
JL,90000.000,1.000,31.000,0.000,0.000,0.002,0.000,0.043,0.000,0.000
JN,272500.000,4.000,8.000,177.000,99.604,0.008,0.014,0.011,0.243,0.206
JR,730000.000,1.000,649.000,0.000,0.000,0.024,0.000,0.895,0.000,0.000
JW,365000.000,2.000,233.000,0.000,0.000,0.012,0.005,0.321,0.000,0.000
KAA,1225000.000,1.000,197.000,0.000,0.000,0.040,0.000,0.272,0.000,0.000
KAB,170000.000,1.000,198.000,0.000,0.000,0.005,0.000,0.273,0.000,0.000
KAH,170000.000,1.000,290.000,0.000,0.000,0.005,0.000,0.400,0.000,0.000
KAK,170000.000,2.000,96.000,3.000,0.000,0.005,0.005,0.132,0.004,0.000
KAP,380000.000,1.000,129.000,0.000,0.000,0.012,0.000,0.178,0.000,0.000
KAW,370000.000,3.000,204.000,23.000,16.263,0.012,0.010,0.281,0.032,0.034
KD,365000.000,2.000,247.000,0.000,0.000,0.012,0.005,0.341,0.000,0.000
KF,140000.000,1.000,36.000,0.000,0.000,0.004,0.000,0.050,0.000,0.000
KH,223000.000,10.000,28.000,236.000,20.705,0.007,0.043,0.039,0.324,0.043
KI,380000.000,2.000,121.000,29.000,0.000,0.012,0.005,0.167,0.040,0.000
KL,90000.000,1.000,74.000,0.000,0.000,0.002,0.000,0.102,0.000,0.000
KLA,207500.000,4.000,73.000,28.000,16.166,0.006,0.014,0.101,0.038,0.033
KMA,145000.000,2.000,127.000,0.000,0.000,0.004,0.005,0.175,0.000,0.000
KMN,170000.000,2.000,311.000,12.000,0.000,0.005,0.005,0.429,0.016,0.000
KN,182500.000,4.000,114.000,73.000,27.392,0.005,0.014,0.157,0.100,0.057
KNP,170000.000,1.000,192.000,0.000,0.000,0.005,0.000,0.265,0.000,0.000
KP,370000.000,3.000,53.000,119.000,84.146,0.012,0.010,0.073,0.163,0.174
KRT,1065000.000,2.000,180.000,7.000,0.000,0.035,0.005,0.248,0.010,0.000
KS,340000.000,6.000,390.000,187.000,12.054,0.011,0.024,0.538,0.257,0.025
KSB,170000.000,1.000,172.000,0.000,0.000,0.005,0.000,0.237,0.000,0.000
KSN,170000.000,1.000,639.000,0.000,0.000,0.005,0.000,0.881,0.000,0.000
KWNA,380000.000,1.000,144.000,0.000,0.000,0.012,0.000,0.199,0.000,0.000
KWNAS,170000.000,1.000,190.000,0.000,0.000,0.005,0.000,0.262,0.000,0.000
KY,380000.000,1.000,409.000,0.000,0.000,0.012,0.000,0.564,0.000,0.000
LAL,170000.000,1.000,62.000,0.000,0.000,0.005,0.000,0.086,0.000,0.000
LB,980000.000,1.000,593.000,0.000,0.000,0.032,0.000,0.818,0.000,0.000
LBA,795000.000,3.000,445.000,229.000,130.815,0.026,0.010,0.614,0.315,0.270
