Row Labels,M,F,R,L,P,NM,NF,NR,NL,NP,Cluster
SN,280909.091,44.000,3.000,716.000,57.112,0.009,0.208,0.004,0.984,0.118,0
SR,245500.000,10.000,116.000,612.000,233.353,0.008,0.043,0.160,0.841,0.482,0
SS,1308000.000,5.000,121.000,549.000,34.884,0.043,0.019,0.167,0.754,0.072,0
SZ,208333.333,6.000,120.000,475.000,127.157,0.006,0.024,0.166,0.652,0.263,0
TD,122000.000,8.000,280.000,429.000,82.698,0.003,0.034,0.386,0.589,0.171,0
TN,380000.000,3.000,45.000,511.000,204.354,0.012,0.010,0.062,0.702,0.423,0
VE,405625.000,8.000,89.000,564.000,109.052,0.013,0.034,0.123,0.775,0.225,0
YA,560625.000,8.000,39.000,554.000,78.044,0.018,0.034,0.054,0.761,0.161,0
YS,227500.000,4.000,38.000,288.000,152.630,0.007,0.014,0.052,0.396,0.316,0
ZA,366950.000,20.000,108.000,527.000,28.900,0.012,0.092,0.149,0.724,0.060,0
ZD,144500.000,4.000,141.000,493.000,96.671,0.004,0.014,0.194,0.677,0.200,0
ZH,667142.857,7.000,42.000,682.000,67.893,0.022,0.029,0.058,0.937,0.140,0
ZK,285000.000,6.000,236.000,403.000,67.281,0.009,0.024,0.326,0.554,0.139,0
ZM,338333.333,6.000,108.000,338.000,127.823,0.011,0.024,0.149,0.464,0.264,0
ZN,207500.000,4.000,121.000,574.000,329.669,0.006,0.014,0.167,0.788,0.682,0
