Row Labels,CC,MAC,Manducare,Miu Spa,Miu Toys,NM,Poli,Telekonseling ,VT,Cluster
KWNA,0,0,0,0,0,1,0,0,0,5
KWNAS,1,0,0,0,0,0,0,0,0,5
KY,0,0,0,0,0,1,0,0,0,4
KZ,0,0,0,1,0,1,0,0,0,3
LA,0,0,1,0,0,1,1,0,0,0
LAL,0,0,0,0,0,0,1,0,0,5
LB,0,0,0,0,0,0,1,0,0,4
LBA,0,0,0,0,0,0,1,0,0,4
LC,0,0,0,0,0,1,0,0,0,4
LE,0,0,0,0,0,0,1,0,0,4
LHN,0,0,0,1,0,0,0,0,0,5
LK,0,1,0,0,0,1,1,0,0,0
LKP,0,0,0,0,0,0,1,0,0,5
LL,0,0,0,1,0,0,0,0,0,4
LN,0,0,0,0,0,1,0,0,0,4
LNF,0,0,0,0,0,0,1,0,0,4
LRY,0,0,0,0,0,1,0,0,0,5
LZ,0,0,0,1,0,0,0,0,0,5
MA,0,1,1,1,1,1,1,0,0,2
MA1,0,0,0,0,0,1,0,0,0,4
MAA,0,0,0,1,0,1,1,0,0,0
MAAG,0,0,0,0,0,1,0,0,0,4
MAB,0,0,0,0,0,1,1,0,0,4
MAD,0,0,0,0,0,0,1,0,0,5
MAF,0,0,0,0,0,1,1,0,0,3
MAG,0,0,0,0,0,0,1,0,0,4
MAH,0,1,0,1,0,1,0,0,0,3
MAK,0,0,0,0,0,0,1,0,0,5
MAKZ,0,0,0,0,0,0,1,0,0,5
MAN,0,0,0,0,0,1,0,0,0,4
MAS,0,0,0,0,0,1,0,0,0,5
MAT,0,1,0,0,0,1,0,0,0,4
MATE,0,0,0,0,0,1,0,0,0,4
MB,0,0,1,1,0,1,1,0,0,0
MBA,0,0,1,1,0,0,1,0,0,5
MBAF,0,0,0,0,0,1,0,0,0,5
MBN,0,0,0,0,0,1,0,0,0,5
MCK,0,0,0,0,0,1,0,0,0,5
MD,0,0,0,0,0,1,1,0,0,0
MDA,0,0,0,0,0,1,0,0,0,4
MDE,0,0,0,1,0,0,1,0,0,5
MDP,0,0,0,1,0,0,1,0,0,5
ME,0,0,1,0,0,0,1,0,0,5
MEAA,0,0,1,0,0,0,0,0,0,5
MEQ,0,1,0,0,0,1,0,0,0,5
MF,0,0,0,0,0,1,1,0,0,4
MFA,0,0,0,1,0,1,1,0,0,0
MFAR,0,0,0,0,0,1,0,0,0,5
MFAS,0,0,0,0,0,1,0,0,0,4
MFG,0,0,0,0,0,1,0,0,0,4
MFZ,0,1,0,0,0,1,0,0,0,5
MG,0,0,0,0,1,1,1,0,0,1
MGA,0,1,0,0,0,1,0,0,0,5
MH,0,0,1,0,0,1,1,0,0,3
