NO;Row Labels;M;F;R;L;P;NM;NF;NR;NL;NP
140;EKA;380000;1;650;0;0;0.012;0;0.897;0;0
141;EL;296000;2;122;198;0;0.009;0.005;0.168;0.272;0
142;ELA;240000;1;344;0;0;0.007;0;0.474;0;0
143;ELG;365000;2;67;0;0;0.012;0.005;0.092;0;0
144;EM;555000;2;378;102;0;0.018;0.005;0.521;0.14;0
145;EN;380000;1;46;0;0;0.012;0;0.063;0;0
146;ENA;170000;1;79;0;0;0.005;0;0.109;0;0
147;EP;380000;1;323;0;0;0.012;0;0.446;0;0
148;ER;690714.286;7;231;458;133.947;0.022;0.029;0.319;0.629;0.277
149;ERM;365000;2;285;0;0;0.012;0.005;0.393;0;0
150;ES;128000;5;435;242;106.488;0.004;0.019;0.6;0.332;0.22
151;EV;380000;1;213;0;0;0.012;0;0.294;0;0
152;EW;350000;1;641;0;0;0.011;0;0.884;0;0
153;EZ;230000;5;23;677;132.618;0.007;0.019;0.032;0.93;0.274
154;EZW;365000;2;233;0;0;0.012;0.005;0.321;0;0
155;FA;310921.053;38;59;652;18.124;0.01;0.179;0.081;0.896;0.037
156;FAB;145000;1;552;0;0;0.004;0;0.761;0;0
157;FAF;196666.667;3;322;163;75.66;0.006;0.01;0.444;0.224;0.156
158;FAR;380000;1;4;0;0;0.012;0;0.006;0;0
159;FB;262500;2;400;64;0;0.008;0.005;0.552;0.088;0
160;FD;170000;4;39;405;50.507;0.005;0.014;0.054;0.556;0.104
161;FDA;170000;2;201;118;0;0.005;0.005;0.277;0.162;0
162;FF;275000;2;355;371;0;0.009;0.005;0.49;0.51;0
163;FG;153333.333;9;17;120;13.148;0.004;0.039;0.023;0.165;0.027
164;FGI;170000;1;202;0;0;0.005;0;0.279;0;0
165;FGP;380000;1;466;0;0;0.012;0;0.643;0;0
166;FH;311111.111;9;40;391;64.224;0.01;0.039;0.055;0.537;0.133
167;FM;215000;6;99;296;90.281;0.007;0.024;0.137;0.407;0.187
168;FN;380000;1;166;0;0;0.012;0;0.229;0;0
169;FNK;450000;1;31;0;0;0.014;0;0.043;0;0
170;FO;380000;1;529;0;0;0.012;0;0.73;0;0
171;FP;240000;1;437;0;0;0.007;0;0.603;0;0
172;FQ;292000;5;56;527;187.206;0.009;0.019;0.077;0.724;0.387
173;FR;260000;2;292;149;0;0.008;0.005;0.403;0.205;0
174;FRW;2850000;2;613;1;0;0.095;0.005;0.846;0.001;0
175;FS;823333.333;9;73;538;84.386;0.027;0.039;0.101;0.739;0.174
176;FSA;170000;1;200;0;0;0.005;0;0.276;0;0
177;FT;140000;1;36;0;0;0.004;0;0.05;0;0
178;FY;170000;1;93;0;0;0.005;0;0.128;0;0
179;FZ;277500;4;137;458;222.534;0.009;0.014;0.189;0.629;0.46
