NO,Row Labels, M ,F,R,L,P,NM,NF,NR,NL,NP
88,BZC, Rp140.000,00 ,2,152,52,0,00,0,004,0,005,0,210,0,071,0,000
89,CA, Rp1.080.000,00 ,2,378,207,0,00,0,035,0,005,0,521,0,284,0,000
90,CAB, Rp1.225.000,00 ,1,288,0,0,00,0,040,0,000,0,397,0,000,0,000
91,CC, Rp100.000,00 ,1,62,0,0,00,0,003,0,000,0,086,0,000,0,000
92,CH, Rp687.500,00 ,2,369,16,0,00,0,022,0,005,0,509,0,022,0,000
93,CJ, Rp675.000,00 ,2,401,40,0,00,0,022,0,005,0,553,0,055,0,000
94,CJA, Rp380.000,00 ,1,216,0,0,00,0,012,0,000,0,298,0,000,0,000
95,CL, Rp422.500,00 ,2,353,207,0,00,0,013,0,005,0,487,0,284,0,000
96,CM, Rp380.000,00 ,1,160,0,0,00,0,012,0,000,0,221,0,000,0,000
97,CN, Rp140.000,00 ,1,22,0,0,00,0,004,0,000,0,030,0,000,0,000
98,CP, Rp675.000,00 ,2,414,34,0,00,0,022,0,005,0,571,0,047,0,000
99,CS, Rp164.000,00 ,5,96,499,153,84,0,005,0,019,0,132,0,685,0,318
100,CSA, Rp675.000,00 ,1,348,0,0,00,0,022,0,000,0,480,0,000,0,000
101,CSU, Rp1.447.500,00 ,2,199,0,0,00,0,048,0,005,0,274,0,000,0,000
102,CT, Rp170.000,00 ,1,93,0,0,00,0,005,0,000,0,128,0,000,0,000
103,CTZ, Rp170.000,00 ,1,97,0,0,00,0,005,0,000,0,134,0,000,0,000
104,CVS, Rp380.000,00 ,1,206,0,0,00,0,012,0,000,0,284,0,000,0,000
105,CZ, Rp884.000,00 ,5,75,646,0,00,0,029,0,019,0,103,0,887,0,000
106,DA, Rp869.000,00 ,5,80,501,149,17,0,028,0,019,0,110,0,688,0,308
107,DAR, Rp1.750.000,00 ,1,313,0,0,00,0,058,0,000,0,432,0,000,0,000
108,DB, Rp266.666,67 ,3,58,188,106,07,0,008,0,010,0,080,0,258,0,219
109,DC, Rp140.000,00 ,1,127,0,0,00,0,004,0,000,0,175,0,000,0,000
110,DCR, Rp160.000,00 ,1,362,0,0,00,0,005,0,000,0,499,0,000,0,000
111,DD, Rp671.000,00 ,5,137,314,59,49,0,022,0,019,0,189,0,431,0,123
112,DF, Rp170.000,00 ,1,419,0,0,00,0,005,0,000,0,578,0,000,0,000
113,DFH, Rp170.000,00 ,1,172,0,0,00,0,005,0,000,0,237,0,000,0,000
114,DG, Rp222.500,00 ,4,350,210,63,55,0,007,0,014,0,483,0,288,0,131
115,DH, Rp1.992.500,00 ,8,58,670,74,63,0,066,0,034,0,080,0,920,0,154
116,DI, Rp176.000,00 ,10,183,501,76,49,0,005,0,043,0,252,0,688,0,158
117,DID, Rp170.000,00 ,1,405,0,0,00,0,005,0,000,0,559,0,000,0,000
118,DIN, Rp170.000,00 ,2,294,17,0,00,0,005,0,005,0,406,0,023,0,000
119,DK, Rp183.750,00 ,4,28,542,175,93,0,005,0,014,0,039,0,745,0,364
120,DKA, Rp365.000,00 ,2,283,0,0,00,0,012,0,005,0,390,0,000,0,000
121,DKJ, Rp365.000,00 ,2,145,0,0,00,0,012,0,005,0,200,0,000,0,000
122,DL, Rp140.000,00 ,2,38,39,0,00,0,004,0,005,0,052,0,054,0,000
123,DM, Rp505.000,00 ,4,40,688,197,41,0,016,0,014,0,055,0,945,0,408
124,DMH, Rp380.000,00 ,1,573,0,0,00,0,012,0,000,0,790,0,000,0,000
125,DP, Rp161.666,67 ,9,248,285,43,75,0,005,0,039,0,342,0,391,0,090
126,DPM, Rp170.000,00 ,1,491,0,0,00,0,005,0,000,0,677,0,000,0,000
127,DR, Rp396.666,67 ,3,147,515,55,50,0,013,0,010,0,203,0,707,0,115
128,DS, Rp407.500,00 ,4,61,318,130,09,0,013,0,014,0,084,0,437,0,269
129,DZ, Rp546.666,67 ,3,334,124,87,68,0,018,0,010,0,461,0,170,0,181
130,EA, Rp180.272,73 ,22,5,681,32,35,0,005,0,101,0,007,0,935,0,067
131,EAK, Rp170.000,00 ,2,211,106,0,00,0,005,0,005,0,291,0,146,0,000
132,EAS, Rp90.000,00 ,1,506,0,0,00,0,002,0,000,0,698,0,000,0,000
133,EB, Rp170.000,00 ,1,229,0,0,00,0,005,0,000,0,316,0,000,0,000
134,EC, Rp170.000,00 ,12,23,539,57,48,0,005,0,053,0,032,0,740,0,119
135,EEQ, Rp730.000,00 ,1,309,0,0,00,0,024,0,000,0,426,0,000,0,000
136,EH, Rp158.000,00 ,5,177,146,36,43,0,005,0,019,0,244,0,201,0,075
137,EHP, Rp196.666,67 ,3,308,40,12,73,0,006,0,010,0,425,0,055,0,026
138,EJP, Rp380.000,00 ,1,346,0,0,00,0,012,0,000,0,477,0,000,0,000
139,EK, Rp351.666,67 ,3,14,698,483,66,0,011,0,010,0,019,0,959,1,000
140,EKA, Rp380.000,00 ,1,650,0,0,00,0,012,0,000,0,897,0,000,0,000
141,EL, Rp296.000,00 ,2,122,198,0,00,0,009,0,005,0,168,0,272,0,000
142,ELA, Rp240.000,00 ,1,344,0,0,00,0,007,0,000,0,474,0,000,0,000
143,ELG, Rp365.000,00 ,2,67,0,0,00,0,012,0,005,0,092,0,000,0,000
144,EM, Rp555.000,00 ,2,378,102,0,00,0,018,0,005,0,521,0,140,0,000
145,EN, Rp380.000,00 ,1,46,0,0,00,0,012,0,000,0,063,0,000,0,000
146,ENA, Rp170.000,00 ,1,79,0,0,00,0,005,0,000,0,109,0,000,0,000
147,EP, Rp380.000,00 ,1,323,0,0,00,0,012,0,000,0,446,0,000,0,000
148,ER, Rp690.714,29 ,7,231,458,133,95,0,022,0,029,0,319,0,629,0,277
149,ERM, Rp365.000,00 ,2,285,0,0,00,0,012,0,005,0,393,0,000,0,000
150,ES, Rp128.000,00 ,5,435,242,106,49,0,004,0,019,0,600,0,332,0,220
151,EV, Rp380.000,00 ,1,213,0,0,00,0,012,0,000,0,294,0,000,0,000
152,EW, Rp350.000,00 ,1,641,0,0,00,0,011,0,000,0,884,0,000,0,000
153,EZ, Rp230.000,00 ,5,23,677,132,62,0,007,0,019,0,032,0,930,0,274
154,EZW, Rp365.000,00 ,2,233,0,0,00,0,012,0,005,0,321,0,000,0,000
155,FA, Rp310.921,05 ,38,59,652,18,12,0,010,0,179,0,081,0,896,0,037
156,FAB, Rp145.000,00 ,1,552,0,0,00,0,004,0,000,0,761,0,000,0,000
157,FAF, Rp196.666,67 ,3,322,163,75,66,0,006,0,010,0,444,0,224,0,156
158,FAR, Rp380.000,00 ,1,4,0,0,00,0,012,0,000,0,006,0,000,0,000
159,FB, Rp262.500,00 ,2,400,64,0,00,0,008,0,005,0,552,0,088,0,000
160,FD, Rp170.000,00 ,4,39,405,50,51,0,005,0,014,0,054,0,556,0,104
161,FDA, Rp170.000,00 ,2,201,118,0,00,0,005,0,005,0,277,0,162,0,000
162,FF, Rp275.000,00 ,2,355,371,0,00,0,009,0,005,0,490,0,510,0,000
163,FG, Rp153.333,33 ,9,17,120,13,15,0,004,0,039,0,023,0,165,0,027
164,FGI, Rp170.000,00 ,1,202,0,0,00,0,005,0,000,0,279,0,000,0,000
